title,soldprice,solddate,bids,link
Pokemon Champion’s Path Charizard V SWSH050 Promo Card Sealed PSA 10 MINT,18.5,"Sold  Jan 17, 2021Sold Item",9 bids,https://www.ebay.com/itm/Pokemon-Champion-s-Path-Charizard-V-SWSH050-Promo-Card-Sealed-PSA-10-MINT/265017152724?hash=item3db440d4d4%3Ag%3A2GAAAOSwKy1f-7dD&LH_Auction=1
New ListingPokemon XY Evolutions Charizard 11/108 Rare Holo Card + RC5/RC32 XY Generations,80.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Pokemon-XY-Evolutions-Charizard-11-108-Rare-Holo-Card-RC5-RC32-XY-Generations/274651157571?hash=item3ff27c1443%3Ag%3AcngAAOSwiiNgBPYK&LH_Auction=1
Charizard 4/130 Base Set 2 Holo Pokemon Card played/damaged,102.5,"Sold  Jan 17, 2021Sold Item",10 bids,https://www.ebay.com/itm/Charizard-4-130-Base-Set-2-Holo-Pokemon-Card-played-damaged/373424731491?hash=item56f1d93563%3Ag%3AgkcAAOSwOqtf-9ui&LH_Auction=1
🔥🔥🔥 DARK CHARIZARD NON HOLO EVO SET VINTAGE POKEMON CARDS TEAM ROCKET LP-MP ,45.0,"Sold  Jan 17, 2021Sold Item",6 bids,https://www.ebay.com/itm/DARK-CHARIZARD-NON-HOLO-EVO-SET-VINTAGE-POKEMON-CARDS-TEAM-ROCKET-LP-MP/203250512564?hash=item2f52acb2b4%3Ag%3AyzgAAOSwF65gARpF&LH_Auction=1
Charizard 19/113 Legendary Treasures 2013 - Holo Rare Pokemon Card NM/LP,30.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/Charizard-19-113-Legendary-Treasures-2013-Holo-Rare-Pokemon-Card-NM-LP/353356320455?hash=item5245ad8ec7%3Ag%3AYD8AAOSwWu1f76bG&LH_Auction=1
Mega M Charizard EX 101/108 Ultra Rare XY Evolutions Pokemon Card,48.0,"Sold  Jan 17, 2021Sold Item",7 bids,https://www.ebay.com/itm/Mega-M-Charizard-EX-101-108-Ultra-Rare-XY-Evolutions-Pokemon-Card/224312219770?hash=item343a0cd87a%3Ag%3AIw4AAOSw4Q1f-9Cd&LH_Auction=1
"Huge Charizard V Full Art Promo Card Pokemon Champion's Path, Holos, Codes Lot",40.0,"Sold  Jan 17, 2021Sold Item",13 bids,https://www.ebay.com/itm/Huge-Charizard-V-Full-Art-Promo-Card-Pokemon-Champions-Path-Holos-Codes-Lot/164638635049?hash=item26553a3429%3Ag%3AbR4AAOSwmx9f57UR&LH_Auction=1
Pokemon Champions Path Charizard V SWSH050 Promo Full Art Card Sealed Mint ,20.5,"Sold  Jan 17, 2021Sold Item",14 bids,https://www.ebay.com/itm/Pokemon-Champions-Path-Charizard-V-SWSH050-Promo-Full-Art-Card-Sealed-Mint/254831484657?hash=item3b5523def1%3Ag%3AaoIAAOSwEtdf-84r&LH_Auction=1
5X Pokemon Champions Path ETB Charizard Vmax 65 Card Sleeves -325 Lot Set SEALED,20.0,"Sold  Jan 17, 2021Sold Item",13 bids,https://www.ebay.com/itm/5X-Pokemon-Champions-Path-ETB-Charizard-Vmax-65-Card-Sleeves-325-Lot-Set-SEALED/224305202083?hash=item3439a1c3a3%3Ag%3AZpEAAOSw04dfeHzM&LH_Auction=1
PSA- 9 Pokemon XY Evolutions Charizard 11/108 Rare Reverse Holo Card,155.97,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/PSA-9-Pokemon-XY-Evolutions-Charizard-11-108-Rare-Reverse-Holo-Card/174591406511?hash=item28a67571af%3Ag%3AtyUAAOSws19f7i-W&LH_Auction=1
